,RMSE,MAE,R2
Ridge Regression,21.145653545959696,15.794082634413696,0.7975388389671669
ElasticNet,21.20140097134071,15.82741489047938,0.796469913261463
Random Forest,17.033668192304507,12.805254605263158,0.868624051493107
Gradient Boosting,17.852997566572647,13.765518284277507,0.8556815719279139
XGBoost,16.239568090849698,12.26999568939209,0.8805878758430481
LightGBM,16.51097411786444,12.644040684124828,0.8765631326276884
CatBoost,16.353999617536992,12.429605803998474,0.8788990737768813
KNeighbors,25.99837226686155,19.94788157894737,0.6939504012852542
